F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
269,542,340,-163,808,407,1070,393,124,663,-982,846,514,281
267,546,336,-166,823,399,1071,390,122,633,-989,847,514,279
268,542,333,-163,794,402,1091,390,128,638,-984,844,512,275
266,539,335,-158,784,423,1115,393,136,664,-982,841,515,276
268,544,334,-154,788,439,1132,393,141,647,-983,840,518,276
271,545,331,-156,775,445,1143,392,148,632,-983,837,514,277
269,538,335,-161,788,453,1137,393,141,644,-984,837,511,279
268,536,337,-160,817,458,1117,392,129,647,-985,844,514,277
269,538,333,-160,819,452,1103,391,124,651,-982,845,515,274
271,539,334,-161,823,447,1097,391,110,660,-979,841,512,276
274,543,336,-159,833,454,1102,391,104,648,-982,842,513,279
274,546,336,-159,802,455,1112,392,118,642,-988,842,518,277
273,543,337,-160,770,433,1106,391,116,648,-992,839,518,276
271,545,339,-164,792,418,1104,391,103,623,-985,837,514,276
271,548,338,-164,806,430,1135,394,120,600,-978,839,512,275
273,539,335,-159,784,434,1165,394,150,638,-978,841,511,273
269,533,334,-157,786,426,1168,389,158,669,-979,836,512,274
262,539,337,-158,809,429,1173,389,142,641,-981,830,512,274
266,544,336,-158,794,431,1165,395,118,616,-985,830,511,273
274,543,331,-161,768,426,1132,398,94,599,-985,839,511,275
267,543,332,-165,801,440,1123,394,77,583,-982,844,511,277
260,541,336,-163,852,458,1144,390,84,621,-978,842,512,277
268,542,338,-159,844,463,1150,389,112,677,-979,841,511,276
272,542,339,-159,818,455,1136,392,124,660,-984,843,515,276
266,539,338,-160,829,441,1143,396,107,613,-984,842,517,278
268,541,333,-163,812,443,1168,395,91,613,-978,841,514,280
270,545,332,-163,777,450,1173,390,89,610,-981,841,512,278
268,543,337,-157,791,442,1159,390,99,594,-988,838,516,276
270,542,337,-156,817,444,1163,392,123,621,-985,840,515,279
269,542,334,-161,819,461,1169,390,141,652,-978,845,513,280
267,540,337,-161,817,462,1150,392,143,641,-979,843,514,276
