F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
269,537,340,-136,751,488,1132,398,290,626,-985,847,515,269
268,545,341,-137,749,474,1123,398,286,627,-986,846,518,276
267,549,346,-138,751,473,1108,401,274,625,-983,833,520,277
268,541,344,-134,753,472,1110,403,259,623,-984,833,518,273
270,537,342,-131,749,469,1127,399,265,623,-987,845,515,272
270,543,346,-134,747,472,1135,397,275,625,-986,848,515,275
269,544,345,-138,751,474,1130,402,258,625,-986,846,516,276
270,539,342,-136,755,474,1142,402,254,624,-987,847,516,273
272,538,343,-136,751,475,1165,399,279,624,-986,841,517,267
271,540,341,-136,749,471,1169,398,280,625,-985,834,519,270
267,544,341,-133,754,470,1162,398,269,625,-987,842,520,276
270,546,345,-135,755,476,1159,399,279,626,-985,845,520,271
273,545,344,-137,752,474,1162,399,282,626,-983,837,515,266
268,545,345,-133,754,469,1158,400,272,624,-987,835,515,273
266,547,347,-130,752,470,1136,399,269,623,-990,838,518,278
271,546,345,-133,749,471,1134,396,261,625,-988,841,516,275
274,546,343,-138,753,471,1154,400,251,626,-987,843,515,272
271,547,342,-136,753,474,1147,404,252,623,-990,845,516,268
266,543,343,-134,746,470,1137,401,261,625,-990,843,518,270
268,541,346,-136,746,478,1156,399,277,628,-986,844,517,275
276,549,345,-134,752,501,1171,399,301,625,-983,846,516,272
272,549,343,-132,750,501,1165,396,310,623,-979,842,517,270
266,541,346,-134,747,477,1152,396,305,625,-982,842,520,274
268,543,347,-136,750,468,1132,398,297,624,-987,848,522,274
273,548,344,-135,750,473,1126,398,283,623,-986,845,519,271
277,542,342,-134,750,472,1130,397,266,624,-985,836,518,275
275,540,340,-134,750,473,1124,397,271,625,-989,837,517,275
270,547,340,-139,747,474,1123,400,287,624,-988,837,518,272
272,548,341,-138,743,484,1129,402,293,624,-983,839,517,275
271,540,343,-132,745,495,1126,401,298,624,-984,844,515,274
266,541,343,-134,747,484,1122,399,312,624,-983,846,514,269
269,546,341,-137,746,471,1127,402,320,626,-980,843,513,267
271,542,341,-135,745,473,1132,403,316,626,-981,838,513,274
267,533,343,-133,748,473,1126,398,305,626,-985,837,513,278
269,534,342,-134,753,467,1121,397,295,626,-987,838,518,273
269,537,343,-135,753,470,1125,404,287,625,-986,839,519,273
268,535,342,-138,752,471,1130,404,289,627,-984,835,513,276
272,538,340,-139,752,474,1123,396,292,625,-981,835,515,272
273,544,342,-136,751,480,1116,400,292,620,-984,840,521,269
270,544,344,-135,751,478,1122,404,301,622,-987,841,519,275
271,542,344,-137,752,475,1127,399,309,628,-986,838,512,280
272,539,340,-135,746,475,1125,398,308,626,-986,838,513,276
267,540,338,-131,740,478,1126,399,316,621,-984,841,518,270
266,541,342,-135,748,482,1119,396,328,620,-983,845,517,270
272,537,347,-138,756,478,1106,394,314,623,-986,847,513,273
274,538,344,-136,748,479,1114,396,292,626,-986,839,515,277
267,544,343,-135,747,497,1131,399,290,626,-982,835,519,276
264,543,344,-130,755,506,1134,398,302,625,-986,844,515,272
268,540,339,-129,747,498,1128,394,307,626,-989,848,514,273
272,542,339,-135,738,499,1124,394,304,624,-983,840,519,275
270,542,346,-136,745,504,1126,399,307,623,-985,839,519,272
267,540,345,-134,751,497,1123,398,302,623,-988,843,516,272
269,540,341,-138,748,496,1105,394,292,624,-984,840,518,275
271,542,342,-140,750,496,1095,397,296,623,-983,840,519,275
270,544,342,-138,754,484,1110,400,295,622,-988,843,516,272
271,544,342,-141,753,479,1127,399,285,622,-991,840,514,272
275,542,344,-142,753,484,1130,398,291,624,-989,835,512,274
273,542,340,-138,753,481,1128,399,289,625,-985,835,515,279
270,543,338,-138,750,483,1129,399,273,626,-983,837,517,281
268,538,343,-136,749,498,1141,396,288,626,-985,838,514,277
