F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
259,536,337,-141,750,493,1160,386,357,626,-988,836,519,267
267,540,338,-141,749,480,1147,390,347,626,-987,839,516,269
270,545,342,-141,751,491,1132,398,317,626,-984,839,515,273
265,539,334,-141,752,505,1125,394,283,626,-990,834,520,270
265,534,330,-140,745,500,1137,391,262,626,-992,836,519,270
270,541,336,-142,742,500,1157,396,236,626,-988,841,515,273
272,542,335,-141,747,508,1175,399,213,626,-985,842,516,271
268,539,331,-138,752,503,1190,399,219,626,-983,839,517,269
268,541,337,-137,753,502,1212,399,240,626,-982,838,516,273
269,542,343,-140,753,514,1226,394,252,626,-984,840,516,277
267,540,338,-141,752,514,1212,394,262,626,-989,839,515,274
268,542,333,-140,752,506,1187,396,275,626,-986,834,517,273
267,543,338,-138,752,507,1170,398,286,626,-982,836,523,273
266,539,341,-137,749,501,1164,400,298,626,-986,838,524,272
266,540,333,-140,749,477,1156,398,298,622,-986,836,522,267
267,544,330,-139,749,461,1141,398,283,619,-984,837,522,263
268,541,339,-138,744,462,1126,401,266,622,-986,839,520,267
269,541,343,-139,738,468,1124,400,255,623,-985,838,518,270
265,543,339,-139,741,485,1140,401,238,622,-985,835,516,271
264,543,339,-141,748,504,1154,408,215,622,-990,834,518,271
269,541,339,-139,752,507,1156,400,204,624,-987,833,521,271
268,541,338,-136,746,507,1168,388,211,625,-981,829,520,270
264,540,338,-137,739,509,1193,393,230,624,-982,827,517,271
265,538,337,-140,748,506,1199,400,262,624,-983,834,517,269
266,539,338,-138,754,508,1194,396,302,624,-980,840,515,269
267,541,341,-137,751,530,1203,394,327,624,-983,838,516,272
269,541,339,-139,754,538,1195,395,324,624,-986,839,517,271
270,542,333,-139,757,520,1165,395,312,624,-983,840,513,272
275,542,331,-138,748,506,1139,395,305,625,-984,839,513,278
271,538,334,-138,746,492,1130,394,298,626,-988,841,520,275
261,538,340,-136,749,472,1142,393,283,626,-987,841,517,267
